id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
1,1,1,"gagarin, yuri",гагарин юрий алексеевич,male,1934,u.s.s.r/russia,military,tspk-1,1960,1,1,pilot,1961,vostok 1,vostok 1,vostok 2,vostok 3,1.77,1.77,0,0,0
2,2,2,"titov, gherman",титов герман степанович,male,1935,u.s.s.r/russia,military,tspk-1,1960,1,1,pilot,1961,vostok 2,vostok 2,vostok 2,vostok 2,25,25.3,0,0,0
3,3,1,"glenn, john h., jr.","glenn, john h., jr.",male,1921,u.s.,military,nasa astronaut group 1,1959,1,2,pilot,1962,ma-6,ma-6,ma-6,ma-6,5,218,0,0,0
4,3,1,"glenn, john h., jr.","glenn, john h., jr.",male,1921,u.s.,military,nasa astronaut group 2,1959,2,2,psp,1998,sts-95,sts-95,sts-95,sts-95,213,218,0,0,0
5,4,2,"carpenter, m. scott","carpenter, m. scott",male,1925,u.s.,military,nasa- 1,1959,1,1,pilot,1962,mercury-atlas 7,mercury-atlas 7,mercury-atlas 7,mercury-atlas 7,5,5,0,0,0
6,5,2,"nikolayev, andriyan",николаев андриян григорьевич,male,1929,u.s.s.r/russia,military,tspk-1,1960,1,2,pilot,1962,vostok 3,vostok 3,vostok 3,vostok 3,94,519.33,0,0,0
7,5,2,"nikolayev, andriyan",николаев андриян григорьевич,male,1929,u.s.s.r/russia,military,tspk-2,1960,2,2,pilot,1970,soyuz 9,soyuz 9,soyuz 9,soyuz 9,424,519.33,0,0,0
8,6,4,"popovich, pavel",попович павел романович,male,1930,u.s.s.r/russia,military,tspk-1,1960,1,2,pilot,1962,vostok 4,vostok 4,vostok 4,vostok 4,70.93,448.45,0,0,0
9,6,4,"popovich, pavel",попович павел романович,male,1930,u.s.s.r/russia,military,tspk-2,1960,2,2,commander,1974,soyuz 14,soyuz 14,soyuz 14,soyuz 14,377,448.45,0,0,0
10,7,3,"schirra, walter m., jr.","schirra, walter m., jr.",male,1923,u.s.,military,1959 nasa group 1,1959,1,3,pilot,1962,mercury-atlas 8,mercury-atlas 8,mercury-atlas 8,mercury-atlas 8,9.22,295.2,0,0,0
11,7,3,"schirra, walter m., jr.","schirra, walter m., jr.",male,1923,u.s.,military,1960 nasa group 1,1959,2,3,commander,1965,gemini 6a,gemini 6a,gemini 6a,gemini 6a,25.87,295.2,0,0,0
12,7,3,"schirra, walter m., jr.","schirra, walter m., jr.",male,1923,u.s.,military,1961 nasa group 1,1959,3,3,commander,1968,apollo 7,apollo 7,apollo 7,apollo 7,260.13,295.2,0,0,0
13,8,4,"cooper, l. gordon, jr.","cooper, l. gordon, jr.",male,1927,u.s.,military,nasa- 1,1959,1,2,pilot,1963,mercury-atlas 9,mercury-atlas 9,mercury-atlas 9,mercury-atlas 9,34.32,225,0,0,0
14,8,4,"cooper, l. gordon, jr.","cooper, l. gordon, jr.",male,1927,u.s.,military,nasa- 1,1959,2,2,commander,1965,gemini 5,gemini 5,gemini 5,gemini 5,191.92,225,0,0,0
15,9,5,"bykovsky, valery",быковский валерий федорович,male,1934,u.s.s.r/russia,military,tspk-1,1960,1,3,pilot,1963,vostok 5,vostok 5,vostok 5,vostok 5,119.13,497.8,0,0,0
16,9,5,"bykovsky, valery",быковский валерий федорович,male,1934,u.s.s.r/russia,military,tspk-2,1960,2,3,commander,1976,soyuz 22,soyuz 22,soyuz 22,soyuz 22,189,497.8,0,0,0
17,9,5,"bykovsky, valery",быковский валерий федорович,male,1934,u.s.s.r/russia,military,tspk-3,1960,3,3,commander,1978,soyuz 31/29,soyuz 31,salyut 6,soyuz 29,188,497.8,0,0,0
18,10,6,"tereshkova, valentina",терешкова валентина владимировна,female,1937,u.s.s.r/russia,military,vvs women,1962,1,1,pilot,1963,vostok 6,vostok 6,vostok 6,vostok 6,70.83,70.83,0,0,0
19,11,7,"komarov, vladimir",комаров владимир михайлович,male,1927,u.s.s.r/russia,military,tspk-1,1960,1,2,commander,1964,voskhod 1,voskhod 1,voskhod 1,voskhod 1,24.28,51.07,0,0,0
20,11,7,"komarov, vladimir",комаров владимир михайлович,male,1927,u.s.s.r/russia,military,tspk-2,1960,2,2,commander,1967,soyuz 1,soyuz 1,soyuz 1,soyuz 1,26.78,51.07,0,0,0
21,12,8,"feoktistov, konstantin",феоктистов константин петрович,male,1926,u.s.s.r/russia,civilian,voskhod-1 / tskbem-1,1964,1,1,msp,1964,voskhod 1,voskhod 1,voskhod 1,voskhod 1,24.28,24.28,0,0,0
22,13,9,"yegorov, boris",егоров борис борисович,male,1937,u.s.s.r/russia,civilian,voskhod-1,1964,1,1,msp,1964,voskhod 1,voskhod 1,voskhod 1,voskhod 1,24.28,24.28,0,0,0
23,14,10,"belyayev, pavel",беляев павел иванович,male,1925,u.s.s.r/russia,military,tspk-1,1960,1,1,commander,1965,voskhod 2,voskhod 2,voskhod 2,voskhod 2,26.03,26.03,0,0,0
24,15,11,"leonov, aleksei",леонов алексей архипович,male,1934,u.s.s.r/russia,military,tspk-1,1960,1,2,pilot,1965,voskhod 2,voskhod 2,voskhod 2,voskhod 2,26.03,168.53,1,0.73,0.73
25,15,11,"leonov, aleksei",леонов алексей архипович,male,1934,u.s.s.r/russia,military,tspk-2,1960,2,2,commander,1975,soyuz 19,soyuz 19,soyuz 19/apollo,soyuz 19,142,168.53,0,0,0.73
26,16,5,"grissom, virgil i.","grissom, virgil i.",male,1926,u.s.,military,nasa astronaut group 2,1959,1,1,commander,1965,gemini 3,gemini 3,gemini 3,gemini 3,4.86,4.86,0,0,0
27,17,6,"young, john w.","young, john w.",male,1930,u.s.,military,1962 nasa group 2,1962,1,6,pilot,1965,gemini 3,gemini 3,gemini 3,gemini 3,4.86,835.65,0,0,20.23
28,17,6,"young, john w.","young, john w.",male,1930,u.s.,military,1963 nasa group 2,1962,2,6,pilot,1966,gemini 10,gemini 10,gemini 10,gemini 10,70.77,835.65,0,0,20.23
29,17,6,"young, john w.","young, john w.",male,1930,u.s.,military,1964 nasa group 2,1962,3,6,pilot,1969,apollo 10,apollo 10,apollo 10,apollo 10,192.05,835.65,0,0,20.23
30,17,6,"young, john w.","young, john w.",male,1930,u.s.,military,1965 nasa group 2,1962,4,6,commander,1972,apollo 16,apollo 16,apollo 16,apollo 16,265.85,835.65,3,20.23,20.23
31,17,6,"young, john w.","young, john w.",male,1930,u.s.,military,1966 nasa group 2,1962,5,6,commander,1981,sts-1,sts-1,sts-1,sts-1,54.5,835.65,0,0,20.23
32,17,6,"young, john w.","young, john w.",male,1930,u.s.,military,1967 nasa group 2,1962,6,6,commander,1983,sts-9,sts-9,sts-9,sts-9,240,835.65,0,0,20.23
33,18,7,"mcdivitt, james a.","mcdivitt, james a.",male,1929,u.s.,military,nasa- 2,1962,1,2,commander,1965,gemini 4,gemini 4,gemini 4,gemini 4,97,338,0,0,0
34,18,7,"mcdivitt, james a.","mcdivitt, james a.",male,1929,u.s.,military,nasa- 2,1962,2,2,commander,1969,apollo 9,apollo 9,apollo 9,apollo 9,241,338,0,0,0
35,19,8,"white, edward h., ii","white, edward h., ii",male,1930,u.s.,military,1962 nasa group 2,1962,1,1,pilot,1965,gemini 4,gemini 4,gemini 4,gemini 4,97.93,97.93,1,0.33,0.33
36,20,9,"conrad, charles, jr.","conrad, charles, jr.",male,1930,u.s.,military,nasa- 2,1962,1,4,pilot,1965,gemini 5,gemini 5,gemini 5,gemini 5,191,1179,0,0,12.77
37,20,9,"conrad, charles, jr.","conrad, charles, jr.",male,1930,u.s.,military,nasa- 2,1962,2,4,commander,1966,gemini 11,gemini 11,gemini 11,gemini 11,71,1179,0,0,12.77
38,20,9,"conrad, charles, jr.","conrad, charles, jr.",male,1930,u.s.,military,nasa- 2,1962,3,4,commander,1969,apollo 12,apollo 12,apollo 12,apollo 12,244,1179,2,7.75,12.77
39,20,9,"conrad, charles, jr.","conrad, charles, jr.",male,1930,u.s.,military,nasa- 2,1962,4,4,commander,1973,skylab 2,skylab 2,skylab 2,skylab 2,673,1179,2,5.02,12.77
40,21,10,"borman, frank","borman, frank",male,1928,u.s.,military,nasa- 2,1962,1,2,commander,1965,gemini 7,gemini 7,gemini 7,gemini 7,330.58,477,0,0,0
41,21,10,"borman, frank","borman, frank",male,1928,u.s.,military,nasa- 2,1962,2,2,commander,1968,apollo 8,apollo 8,apollo 8,apollo 8,147,477,0,0,0
42,22,11,"lovell, james a., jr.","lovell, james a., jr.",male,1928,u.s.,military,nasa- 2,1962,1,4,pilot,1965,gemini 7,gemini 7,gemini 7,gemini 7,330.58,715.05,0,0,0
43,22,11,"lovell, james a., jr.","lovell, james a., jr.",male,1928,u.s.,military,nasa- 2,1962,2,4,commander,1966,gemini 12,gemini 12,gemini 12,gemini 12,94,715.05,0,0,0
44,22,11,"lovell, james a., jr.","lovell, james a., jr.",male,1928,u.s.,military,nasa- 2,1962,3,4,pilot,1968,apollo 8,apollo 8,apollo 8,apollo 8,147,715.05,0,0,0
45,22,11,"lovell, james a., jr.","lovell, james a., jr.",male,1928,u.s.,military,nasa- 2,1962,4,4,commander,1970,apollo 13,apollo 13,apollo 13,apollo 13,142,715.05,0,0,0
46,23,12,"stafford, thomas p.","stafford, thomas p.",male,1930,u.s.,military,1996 nasa group,1962,1,4,pilot,1965,gemini 6a,gemini 6a,gemini 6a,gemini 6a,25.86,508,0,0,0
47,23,12,"stafford, thomas p.","stafford, thomas p.",male,1930,u.s.,military,1996 nasa group,1962,2,4,commander,1966,gemini 9a,gemini 9a,gemini 9a,gemini 9a,72,508,0,0,0
48,23,12,"stafford, thomas p.","stafford, thomas p.",male,1930,u.s.,military,1996 nasa group,1962,3,4,commander,1969,apollo 10,apollo 10,apollo 10,apollo 10,192,508,0,0,0
49,23,12,"stafford, thomas p.","stafford, thomas p.",male,1930,u.s.,military,1996 nasa group,1962,4,4,commander,1975,astp,astp,astp,astp,217,508,0,0,0
50,24,13,"armstrong, neil a.","armstrong, neil a.",male,1930,u.s.,civilian,"1958 usaf man in space soonest, 1960 usaf dyna-soar, nasa- 2",1962,1,2,commander,1966,gemini 8,gemini 8,gemini 8,gemini 8,11,206,0,0,2.51
51,24,13,"armstrong, neil a.","armstrong, neil a.",male,1930,u.s.,civilian,"1958 usaf man in space soonest, 1960 usaf dyna-soar, nasa- 2",1962,2,2,commander,1969,apollo 11,apollo 11,apollo 11,apollo 11,195,206,1,2.52,2.51
52,25,14,"scott, david r.","scott, david r.",male,1932,u.s.,military,1963 nasa group 3,1963,1,3,pilot,1966,gemini 8,gemini 8,gemini 8,gemini 8,240.68,546,0,0,19.9
53,25,14,"scott, david r.","scott, david r.",male,1932,u.s.,military,1963 nasa group 3,1963,2,3,pilot,1969,apollo 9,apollo 9,apollo 9,apollo 9,241,546,1,1.13,19.9
54,25,14,"scott, david r.","scott, david r.",male,1932,u.s.,military,1963 nasa group 3,1963,3,3,commander,1971,apollo 15,apollo 15,apollo 15,apollo 15,312,546,3,18.77,19.9
55,26,15,"cernan, eugene a.","cernan, eugene a.",male,1934,u.s.,military,nasa- 3,1963,1,3,pilot,1966,gemini 9a,gemini 9a,gemini 9a,gemini 9a,72,565,1,2.12,24.18
56,26,15,"cernan, eugene a.","cernan, eugene a.",male,1934,u.s.,military,nasa- 3,1963,2,3,pilot,1969,apollo 10,apollo 10,apollo 10,apollo 10,192.05,565,0,0,24.18
57,26,15,"cernan, eugene a.","cernan, eugene a.",male,1934,u.s.,military,nasa- 3,1963,3,3,commander,1972,apollo 17,apollo 17,apollo 17,apollo 17,302,565,3,22.13,24.18
58,27,16,"collins, michael","collins, michael",male,1930,u.s.,civilian,nasa- 3,1963,1,2,pilot,1966,gemini 10,gemini 10,gemini 10,gemini 10,71,266,1,1.47,1.47
59,27,16,"collins, michael","collins, michael",male,1930,u.s.,civilian,nasa- 3,1963,2,2,pilot,1969,apollo 11,apollo 11,apollo 11,apollo 11,195,266,0,0,1.47
60,28,17,"gordon, richard f., jr.","gordon, richard f., jr.",male,1929,u.s.,military,nasa astronaut group 3,1963,1,2,pilot,1966,gemini 11,gemini 11,gemini 11,gemini 11,71.28,315.88,0,0,2.68
61,28,17,"gordon, richard f., jr.","gordon, richard f., jr.",male,1929,u.s.,military,nasa astronaut group 4,1963,2,2,pilot,1969,apollo 12,apollo 12,apollo 12,apollo 12,244.6,315.88,2,2.68,2.68
62,29,18,"aldrin, edwin eugene, jr.","aldrin, edwin eugene, jr.",male,1930,u.s.,military,nasa- 3,1963,1,2,pilot,1966,gemini 12,gemini 12,gemini 12,gemini 12,94.58,289,3,5.5,8
63,29,18,"aldrin, edwin eugene, jr.","aldrin, edwin eugene, jr.",male,1930,u.s.,military,nasa- 3,1963,2,2,pilot,1969,apollo 11,apollo 11,apollo 11,apollo 11,195,289,1,2.5,8
64,30,19,"eisele, donn f.","eisele, donn f.",male,1930,u.s.,military,nasa- 3,1963,1,1,pilot,1968,apollo 7,apollo 7,apollo 7,apollo 7,260.13,260,0,0,0
65,31,20,"cunningham, ronnie walter","cunningham, ronnie walter",male,1932,u.s.,civilian,nasa- 3,1963,1,1,pilot,1968,apollo 7,apollo 7,apollo 7,apollo 7,260.13,260.13,0,0,0
66,100,50,"savinykh, viktor",виктор петрович савиных,male,1940,u.s.s.r/russia,civilian,npoe-4,1978,2,3,flight engineer,1985,salyut 7,soyuz t­13,salyut 7,soyuz t­14,4035,6065.63,0,0,5
67,100,50,"savinykh, viktor",виктор петрович савиных,male,1940,u.s.s.r/russia,civilian,npoe-4,1978,3,3,flight engineer,1988,2,soyuz tm­5,mir ep,soyuz tm­4,236,6065.63,0,0,5
68,101,1,jugderdemidiin gurragchaa,жүгдэрдэмидийн гүррагчаа,male,1947,mongolia,civilian,1978 intercosmos group,1978,1,1,flight engineer,1981,soyuz 39,soyuz 39,soyuz 39,soyuz 39,188.7,188.7,0,0,0
69,102,44,"crippen, robert l.","crippen, robert l.",male,1937,u.s.,military,nasa- 7,1969,1,4,pilot,1981,sts-1,sts-1,sts-1,sts-1,54,565,0,0,0
70,102,44,"crippen, robert l.","crippen, robert l.",male,1937,u.s.,military,nasa- 7,1969,2,4,commander,1983,sts-7,sts-7,sts-7,sts-7,146,565,0,0,0
71,102,44,"crippen, robert l.","crippen, robert l.",male,1937,u.s.,military,nasa- 7,1969,3,4,commander,1984,sts-41-c,sts-41-c,sts-41-c,sts-41-c,168,565,0,0,0
72,102,44,"crippen, robert l.","crippen, robert l.",male,1937,u.s.,military,nasa- 7,1969,4,4,commander,1984,sts-41-g,sts-41-g,sts-41-g,sts-41-g,197,565,0,0,0
73,103,1,dumitru prunariu,dumitru-dorin prunariu,male,1952,romania,civilian,1978 intercosmos group,1978,1,1,msp,1981,soyuz 40,soyuz 40,soyuz 40,soyuz 40,188.7,188.7,0,0,0
74,104,45,"engle, joe h.","engle, joe h.",male,1932,u.s.,military,nasa- 5,1966,1,2,commander,1981,sts-2,sts-2,sts-2,sts-2,30,224,0,0,0
75,104,45,"engle, joe h.","engle, joe h.",male,1932,u.s.,military,nasa- 5,1966,2,2,commander,1985,sts-51-i,sts-51-i,sts-51-i,sts-51-i,170,224,0,0,0
76,105,46,"truly, richard h.","truly, richard h.",male,1937,u.s.,military,1965 usaf mol group 1,1969,1,2,pilot,1981,sts-2,sts-2,sts-2,sts-2,54.21,199.34,0,0,0
77,105,46,"truly, richard h.","truly, richard h.",male,1937,u.s.,military,1965 usaf mol group 1,1969,2,2,commander,1983,sts-8,sts-8,sts-8,sts-8,145.13,199.34,0,0,0
78,106,47,"fullerton, charles g.","fullerton, charles g.",male,1936,u.s.,military,"usaf mol group 2 
 nasa- 7",1969,1,2,pilot,1982,sts-3,sts-3,sts-3,sts-3,192,382,0,0,0
79,106,47,"fullerton, charles g.","fullerton, charles g.",male,1936,u.s.,military,"usaf mol group 2 
 nasa- 7",1969,2,2,commander,1985,sts-51-f,sts-51-f,sts-51-f,sts-51-f,190,382,0,0,0
80,107,51,"berezovoy, anatoly",анатолий николаевич березовой,male,1942,u.s.s.r/russia,military,tspk-5,1970,1,1,commander,1982,salyut 7,soyuz t­5,salyut 7,soyuz t­7,5073,5073.07,1,2.55,2.55
81,108,1,"chrétien, jean-loup","chrétien, jean-loup",male,1938,france,military,cnes-1,1980,1,3,msp,1982,salyut 7,soyuz t-6,salyut 7,soyuz t-6,190,1043.32,0,0,5.95
82,108,1,"chrétien, jean-loup","chrétien, jean-loup",male,1938,france,military,cnes-1,1980,2,3,msp,1988,mir aragatz,soyuz tm-7,mir,soyuz tm-6,594,1043.32,1,5.95,5.95
83,108,1,"chrétien, jean-loup","chrétien, jean-loup",male,1938,france,military,cnes-1,1980,3,3,msp,1997,sts-86,sts-86,sts-86,sts-86,259.3,1043.32,0,0,5.95
84,109,48,"hartsfield, henry w., jr.","hartsfield, henry w., jr.",male,1933,u.s.,military,nasa astronaut group 7,1969,1,3,pilot,1982,sts-4,sts-4,sts-4,sts-4,169,481,0,0,0
85,109,48,"hartsfield, henry w., jr.","hartsfield, henry w., jr.",male,1933,u.s.,military,nasa astronaut group 7,1969,2,3,commander,1984,sts-41-d,sts-41-d,sts-41-d,sts-41-d,144,481,0,0,0
86,109,48,"hartsfield, henry w., jr.","hartsfield, henry w., jr.",male,1933,u.s.,military,nasa astronaut group 7,1969,3,3,commander,1985,sts-61-a,sts-61-a,sts-61-a,sts-61-a,168,481,0,0,0
87,110,52,"serebrov, aleksandr",александр александрович серебров,male,1944,u.s.s.r/russia,civilian,npoe-4,1978,1,4,flight engineer,1982,salyut 7,soyuz t­7,salyut 7,soyuz t­5,189,8950.87,0,0,31.82
88,32,12,"beregovoi, georgi",береговой георгий тимофеевич,male,1921,u.s.s.r/russia,military,tspk-2,1964,1,1,commander,1968,soyuz 3,soyuz 3,soyuz 3,soyuz 3,94.83,94.83,0,0,0
89,33,21,"anders, william alison","anders, william alison",male,1933,u.s.,civilian,nasa- 3,1963,1,1,pilot,1968,apollo 8,apollo 8,apollo 8,apollo 8,147,147,0,0,0
90,34,13,"shatalov, vladimir",шаталов владимир александрович,male,1927,u.s.s.r/russia,military,tspk-2,1963,1,3,commander,1969,soyuz 4,soyuz 4,soyuz 4/soyuz 5,soyuz 4,71.33,237.92,0,0,0
91,34,13,"shatalov, vladimir",шаталов владимир александрович,male,1927,u.s.s.r/russia,military,tspk-3,1963,2,3,commander,1969,soyuz 8,soyuz 8,soyuz 8,soyuz 8,118,237.92,0,0,0
92,34,13,"shatalov, vladimir",шаталов владимир александрович,male,1927,u.s.s.r/russia,military,tspk-4,1963,3,3,commander,1971,soyuz 10,soyuz 10,soyuz 10,soyuz 10,47,237.92,0,0,0
93,35,14,"volynov, boris",волынов борис валентинович,male,1934,u.s.s.r/russia,military,tspk-1,1960,1,2,commander,1969,soyuz 5,soyuz 5,soyuz 5/soyuz 4,soyuz 5,72,1255.28,0,0,0
94,35,14,"volynov, boris",волынов борис валентинович,male,1934,u.s.s.r/russia,military,tspk-1,1960,2,2,commander,1976,soyuz 21,soyuz 21,soyuz 21,soyuz 21,1182,1255.28,0,0,0
95,36,15,"yeliseyev, aleksei",елисеев алексей станиславович,male,1934,u.s.s.r/russia,civilian,korolyov-group / mishin-group / tskbem-1,1968,1,3,flight engineer,1969,soyuz 5/4,soyuz 5,soyuz 5/4,soyuz 4,47,214.33,1,0.62,0.62
96,36,15,"yeliseyev, aleksei",елисеев алексей станиславович,male,1934,u.s.s.r/russia,civilian,korolyov-group / mishin-group / tskbem-2,1968,2,3,flight engineer,1969,soyuz 8,soyuz 8,soyuz 8,soyuz 8,118,214.33,0,0,0.62
97,36,15,"yeliseyev, aleksei",елисеев алексей станиславович,male,1934,u.s.s.r/russia,civilian,korolyov-group / mishin-group / tskbem-3,1968,3,3,flight engineer,1971,soyuz 10,soyuz 10,salyut 1,soyuz 10,47,214.33,0,0,0.62
98,37,16,"khrunov, yevgeny",хрунов евгений викторович,male,1933,u.s.s.r/russia,military,tspk-1,1960,1,1,msp,1969,soyuz 5/4,soyuz 5,soyuz 5/4,soyuz 4,48.17,47.75,1,0.62,0.62
99,38,22,"schweickart, russell l.","schweickart, russell l.",male,1935,u.s.,civilian,1963 nasa group 3,1963,1,1,pilot,1969,apollo 9,apollo 9,apollo 9,apollo 9,241,241,1,1.13,1.13
100,39,17,"shonin, georgi",шонин георгий степанович,male,1935,u.s.s.r/russia,military,tspk-1,1960,1,1,commander,1969,soyuz 6,soyuz 6,soyuz 6,soyuz 6,118,118.7,0,0,0
101,40,18,"kubasov, valeri",кубасов валерий николаевич,male,1935,u.s.s.r/russia,military,korolyov-group / mishin-group / tskbem-1,1968,1,3,flight engineer,1969,soyuz 6,soyuz 6,soyuz 6,soyuz 6,118,449.95,0,0,0
102,40,18,"kubasov, valeri",кубасов валерий николаевич,male,1935,u.s.s.r/russia,military,korolyov-group / mishin-group / tskbem-2,1968,2,3,flight engineer,1975,soyuz 19,soyuz 19,soyuz 19/apollo,soyuz 19,142,449.95,0,0,0
103,40,18,"kubasov, valeri",кубасов валерий николаевич,male,1935,u.s.s.r/russia,military,korolyov-group / mishin-group / tskbem-3,1968,3,3,commander,1980,soyuz 36/35,soyuz 36,salyut 6,soyuz 35,188,449.95,0,0,0
104,41,19,"filipchenko, anatoly",филипченко анатолий васильевич,male,1928,u.s.s.r/russia,military,tspk-2,1963,1,2,commander,1969,soyuz 7,soyuz 7,soyuz 7,soyuz 7,118,261.05,0,0,0
105,41,19,"filipchenko, anatoly",филипченко анатолий васильевич,male,1928,u.s.s.r/russia,military,tspk-3,1963,2,2,commander,1974,soyuz 16,soyuz 16,soyuz 16,soyuz 16,142,261.05,0,0,0
106,42,20,"volkov, vladislav",владислав николаевич волков,male,1935,u.s.s.r/russia,military,korolyov-group / mishin-group / tskbem-1,1968,1,2,flight engineer,1969,soyuz 7,soyuz 7,soyuz 7,soyuz 7,118,689.02,0,0,0
107,42,20,"volkov, vladislav",владислав николаевич волков,male,1935,u.s.s.r/russia,military,korolyov-group / mishin-group / tskbem-1,1968,2,2,flight engineer,1971,soyuz 11,soyuz 11,salyut 1,soyuz 11,570,689.02,0,0,0
108,43,21,"gorbatko, viktor",виктор васильевич горбатко,male,1934,u.s.s.r/russia,military,tspk-1,1960,1,3,msp,1969,soyuz 7,soyuz 7,soyuz 7,soyuz 7,118,732.78,0,0,0
109,43,21,"gorbatko, viktor",виктор васильевич горбатко,male,1934,u.s.s.r/russia,military,tspk-2,1960,2,3,commander,1977,soyuz 24,soyuz 24,salyut 5,soyuz 24,425,732.78,0,0,0
110,43,21,"gorbatko, viktor",виктор васильевич горбатко,male,1934,u.s.s.r/russia,military,tspk-3,1960,3,3,commander,1980,soyuz 37/36,soyuz 37,salyut 6,soyuz 36,188,732.78,0,0,0
111,44,23,"bean, alan lavern","bean, alan lavern",male,1932,u.s.,military,1963 nasa group 3,1963,1,2,pilot,1969,apollo 12,apollo 12,apollo 12,apollo 12,244.81,1671.75,2,6.4,9.32
112,44,23,"bean, alan lavern","bean, alan lavern",male,1932,u.s.,military,1963 nasa group 3,1963,2,2,commander,1973,skylab 3,apollo csm-117,skylab 3,apollo csm-117,1427.23,1671.75,1,2.68,9.32
113,45,24,"swigert, john l., jr.","swigert, john l., jr.",male,1931,u.s.,civilian,1966 nasa group 5,1966,1,1,pilot,1970,apollo 13,apollo 13,apollo 13,apollo 13,142,142,0,0,0
114,46,25,"haise, fred w., jr.","haise, fred w., jr.",male,1933,u.s.,civilian,nasa astronaut group 5,1966,1,1,pilot,1970,apollo 13,apollo 13,apollo 13,apollo 13,142,142,0,0,0
115,47,22,"sevastyanov, vitali",виталий иванович севастьянов,male,1935,u.s.s.r/russia,civilian,mishin-group / tskbem-1,1968,1,2,flight engineer,1970,soyuz 9,soyuz 9,soyuz 9,soyuz 9,424,1936.3,0,0,0
116,47,22,"sevastyanov, vitali",виталий иванович севастьянов,male,1935,u.s.s.r/russia,civilian,mishin-group / tskbem-2,1968,2,2,flight engineer,1975,soyuz 18,soyuz 18,salyut 5,soyuz 18,1511,1936.3,0,0,0
117,48,26,"shepard, alan b., jr.","shepard, alan b., jr.",male,1923,u.s.,military,1959 nasa group 1,1959,2,2,commander,1971,apollo 14,apollo 14,apollo 14,apollo 14,216,216.25,2,9.25,9.25
118,49,27,"roosa, stuart a.","roosa, stuart a.",male,1933,u.s.,military,1966 nasa group 5,1966,1,1,pilot,1971,apollo 14,apollo 14,apollo 14,apollo 14,216,216,0,0,0
119,50,28,"mitchell, edgar d.","mitchell, edgar d.",male,1930,u.s.,military,nasa- 5,1966,1,1,pilot,1971,apollo 14,apollo 14,apollo 14,apollo 14,216,216,2,9.38,9.38
120,51,23,"rukavishnikov, nikolai",николай николаевич рукавишников,male,1932,u.s.s.r/russia,military,korolyov-group / mishin-group / tskbem-1,1968,1,3,flight engineer,1971,soyuz 10,soyuz 10,soyuz 10,soyuz 10,47,237.15,0,0,0
121,51,23,"rukavishnikov, nikolai",николай николаевич рукавишников,male,1932,u.s.s.r/russia,military,korolyov-group / mishin-group / tskbem-2,1968,2,3,flight engineer,1974,soyuz 16,soyuz 16,soyuz 16,soyuz 16,142,237.15,0,0,0
122,51,23,"rukavishnikov, nikolai",николай николаевич рукавишников,male,1932,u.s.s.r/russia,military,korolyov-group / mishin-group / tskbem-3,1968,3,3,commander,1979,soyuz 33,soyuz 33,soyuz 33,soyuz 33,47,237.15,0,0,0
123,52,24,"dobrovolski, georgi",георгий тимофеевич добровольский,male,1928,u.s.s.r/russia,military,tspk-2,1963,1,1,commander,1971,soyuz 11,soyuz 11,salyut 1,soyuz 11,570,570.35,0,0,0
124,53,25,"patsayev, viktor",виктор иванович пацаев,male,1933,u.s.s.r/russia,civilian,tskbem-1,1968,1,1,flight engineer,1971,soyuz 11,soyuz 11,salyut 1,soyuz 11,570,570.35,0,0,0
125,54,29,"worden, alfred m.","worden, alfred m.",male,1932,u.s.,military,1966 nasa group 5,1966,1,1,pilot,1971,apollo 15,apollo 15,apollo 15,apollo 15,295.2,295.2,1,0.63,0.63
126,55,30,"irwin, james b.","irwin, james b.",male,1930,u.s.,military,nasa- 5,1966,1,1,pilot,1971,apollo 15,apollo 15,apollo 15,apollo 15,295,295,3,18.5,18.5
127,56,31,"mattingly, thomas k., ii","mattingly, thomas k., ii",male,1936,u.s.,military,nasa- 5,1966,1,3,pilot,1972,apollo 16,apollo 16,apollo 16,apollo 16,266,508,1,1.38,1.38
128,56,31,"mattingly, thomas k., ii","mattingly, thomas k., ii",male,1936,u.s.,military,nasa- 5,1966,2,3,commander,1982,sts-4,sts-4,sts-4,sts-4,169,508,0,0,1.38
129,56,31,"mattingly, thomas k., ii","mattingly, thomas k., ii",male,1936,u.s.,military,nasa- 5,1966,3,3,commander,1985,sts-151-c,sts-151-c,sts-151-c,sts-151-c,73,508,0,0,1.38
130,57,32,"duke, jr. charles moss","duke, jr. charles moss",male,1935,u.s.,military,nasa- 5,1966,1,1,pilot,1972,apollo 16,apollo 16,apollo 16,apollo 16,265,265,3,20.25,20.25
131,58,33,"evans, ronald e.","evans, ronald e.",male,1933,u.s.,military,nasa- 5,1966,1,1,pilot,1972,apollo 17,apollo 17,apollo 17,apollo 17,301,301,1,1.4,1.4
132,59,34,"schmitt, harrison h.","schmitt, harrison h.",male,1935,u.s.,civilian,nasa-4,1965,1,1,pilot,1972,apollo 17,apollo 17,apollo 17,apollo 17,301,301,3,22.07,22.07
133,60,35,"weitz, paul j.","weitz, paul j.",male,1932,u.s.,military,1966 nasa group 5,1966,1,2,pilot,1973,skylab-2,apollo sk.2,apollo sk.2,apollo sk.2,267,793.22,2,2.27,2.27
