id,number,nationwide_number,name,original_name,sex,year_of_birth,nationality,military_civilian,selection,year_of_selection,mission_number,total_number_of_missions,occupation,year_of_mission,mission_title,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
775,320,80,"kondakova, yelena v.",елена владимировна кондакова,female,1957,u.s.s.r/russia,civilian,npoe-9,1989,1,2,flight engineer,1994,17,soyuz tm­20,mir,soyuz tm­20,4061,4282.68,0,0,0
776,320,80,"kondakova, yelena v.",елена владимировна кондакова,female,1957,u.s.s.r/russia,civilian,npoe-9,1989,2,2,msp,1997,23,sts­84,sts­84,sts­84,221,4282.68,0,0,0
777,321,204,"tanner, joseph r.","tanner, joseph r.",male,1950,u.s.,civilian,1992 nasa group,1992,1,4,msp,1994,sts-66,sts-66,sts-66,sts-66,262,1045.25,0,0,46.48
778,321,204,"tanner, joseph r.","tanner, joseph r.",male,1950,u.s.,civilian,1992 nasa group,1992,2,4,msp,1997,sts-82,sts-82,sts-82,sts-82,239,1045.25,2,14.02,46.48
779,321,204,"tanner, joseph r.","tanner, joseph r.",male,1950,u.s.,civilian,1992 nasa group,1992,3,4,msp,2000,sts-97,sts-97,sts-97,sts-97,259,1045.25,3,19.33,46.48
780,321,204,"tanner, joseph r.","tanner, joseph r.",male,1950,u.s.,civilian,1992 nasa group,1992,4,4,msp,2006,sts-115,sts-115,sts-115,sts-115,283,1045.25,2,13.13,46.48
781,322,5,"clervoy, jean-françois","clervoy, jean-françois",male,1958,france,military,cnes-2/esa-2/eac,1985,1,3,msp,1994,sts-66,sts-66,sts-66,sts-66,263,675.1,0,0,0
782,322,5,"clervoy, jean-françois","clervoy, jean-françois",male,1958,france,military,cnes-2/esa-2/eac,1985,2,3,msp,1997,sts-84,sts-84,sts-84,sts-84,221.1,675.1,0,0,0
783,322,5,"clervoy, jean-françois","clervoy, jean-françois",male,1958,france,military,cnes-2/esa-2/eac,1985,3,3,msp,1999,sts-103,sts-103,sts-103,sts-103,191,675.1,0,0,0
784,323,205,"parazynski, scott e.","parazynski, scott e.",male,1961,u.s.,civilian,nasa-14,1992,1,5,msp,1994,sts-66,sts-66,sts-66,sts-66,262,1379,0,0,47.08
785,323,205,"parazynski, scott e.","parazynski, scott e.",male,1961,u.s.,civilian,nasa-14,1992,2,5,msp,1997,sts-86,sts-86,sts-86,sts-86,259,1379,1,5.017,47.08
786,323,205,"parazynski, scott e.","parazynski, scott e.",male,1961,u.s.,civilian,nasa-14,1992,3,5,msp,1998,sts-95,sts-95,sts-95,sts-95,213,1379,0,0,47.08
787,323,205,"parazynski, scott e.","parazynski, scott e.",male,1961,u.s.,civilian,nasa-14,1992,4,5,msp,2001,sts-100,sts-100,sts-100,sts-100,283,1379,2,14.83,47.08
788,323,205,"parazynski, scott e.","parazynski, scott e.",male,1961,u.s.,civilian,nasa-14,1992,5,5,msp,2007,sts-120,sts-120,sts-120,sts-120,362,1379,4,27.23,47.08
789,324,206,"collins, eileen m.","collins, eileen m.",female,1956,u.s.,military,nasa- 13,1990,1,4,pilot,1995,sts-63,sts-63,sts-63,sts-63,198.5,872,0,0,0
790,324,206,"collins, eileen m.","collins, eileen m.",female,1956,u.s.,military,nasa- 13,1990,2,4,pilot,1997,sts-84,sts-84,sts-84,sts-84,120,872,0,0,0
791,324,206,"collins, eileen m.","collins, eileen m.",female,1956,u.s.,military,nasa- 13,1990,3,4,commander,1999,sts-93,sts-93,sts-93,sts-93,119,872,0,0,0
792,324,206,"collins, eileen m.","collins, eileen m.",female,1956,u.s.,military,nasa- 13,1990,4,4,commander,2005,sts-114,sts-114,sts-114,sts-114,333,872,0,0,0
793,325,207,"gregory, william g.","gregory, william g.",male,1957,u.s.,military,nasa astronaut group 13,1990,1,1,pilot,1995,sts-67,sts-67,sts-67,sts-67,399,399,0,0,0
794,326,208,"grunsfeld, john m.","grunsfeld, john m.",male,1958,u.s.,civilian,nasa astronaut group 14,1992,1,5,msp,1995,sts-67,sts-67,sts-67,sts-67,399,1405,0,0,59.5
795,326,208,"grunsfeld, john m.","grunsfeld, john m.",male,1958,u.s.,civilian,nasa astronaut group 15,1992,2,5,msp,1997,sts-81,sts-81,sts-81,sts-81,244,1405,0,0,59.5
796,326,208,"grunsfeld, john m.","grunsfeld, john m.",male,1958,u.s.,civilian,nasa astronaut group 16,1992,3,5,msp,1999,sts-103,sts-103,sts-103,sts-103,191,1405,2,16.33,59.5
797,326,208,"grunsfeld, john m.","grunsfeld, john m.",male,1958,u.s.,civilian,nasa astronaut group 17,1992,4,5,msp,2002,sts-109,sts-109,sts-109,sts-109,262,1405,3,21.15,59.5
798,326,208,"grunsfeld, john m.","grunsfeld, john m.",male,1958,u.s.,civilian,nasa astronaut group 18,1992,5,5,msp,2009,sts-125,sts-125,sts-125,sts-125,309,1405,3,20.97,59.5
799,327,209,"lawrence, wendy b.","lawrence, wendy b.",female,1959,u.s.,military,nasa- 14,1992,1,4,msp,1995,sts-67,sts-67,sts-67,sts-67,399,1226,0,0,0
800,327,209,"lawrence, wendy b.","lawrence, wendy b.",female,1959,u.s.,military,nasa- 14,1992,2,4,msp,1997,sts-86,sts-86,sts-86,sts-86,259,1226,0,0,0
801,327,209,"lawrence, wendy b.","lawrence, wendy b.",female,1959,u.s.,military,nasa- 14,1992,3,4,msp,1998,sts-91,sts-91,sts-91,sts-91,235,1226,0,0,0
802,327,209,"lawrence, wendy b.","lawrence, wendy b.",female,1959,u.s.,military,nasa- 14,1992,4,4,msp,2005,sts-114,sts-114,sts-114,sts-114,333,1226,0,0,0
803,328,81,"dezhurov, vladimir n.",владимир николаевич дежуров,male,1962,u.s.s.r/russia,military,tspk-8,1987,1,2,commander,1995,18,soyuz tm­21,mir,sts­71,2768,5861.47,3,18.18,36.87
804,328,81,"dezhurov, vladimir n.",владимир николаевич дежуров,male,1962,u.s.s.r/russia,military,tspk-8,1987,2,2,commander,2001,3,sts-105,iss,sts-108,3092,5861.47,4,18.67,36.87
805,329,82,"budarin, nikolai",николай михайлович бударин,male,1953,u.s.s.r/russia,civilian,npoe-9,1989,1,3,flight engineer,1995,19,sts­71,mir,soyuz tm­21,1811,10657.42,3,14.53,46.02
806,329,82,"budarin, nikolai",николай михайлович бударин,male,1953,u.s.s.r/russia,civilian,npoe-9,1989,2,3,flight engineer,1998,25,soyuz tm­27,mir,soyuz tm­27,4980,10657.42,5,31.48,46.02
807,329,82,"budarin, nikolai",николай михайлович бударин,male,1953,u.s.s.r/russia,civilian,npoe-9,1989,3,3,flight engineer,2002,6,sts­113,iss,soyuz tma­1,3865,10657.42,0,0,46.02
808,330,210,kregel kevin r.,kregel kevin r.,male,1956,u.s.,civilian,nasa- 14,1992,1,4,pilot,1995,sts-70,sts-70,sts-70,sts-70,214,1266.35,0,0,0
809,330,210,kregel kevin r.,kregel kevin r.,male,1956,u.s.,civilian,nasa- 14,1992,2,4,pilot,1996,sts-78,sts-78,sts-78,sts-78,405,1266.35,0,0,0
810,330,210,kregel kevin r.,kregel kevin r.,male,1956,u.s.,civilian,nasa- 14,1992,3,4,commander,1997,sts-87,sts-87,sts-87,sts-87,376,1266.35,0,0,0
811,330,210,kregel kevin r.,kregel kevin r.,male,1956,u.s.,civilian,nasa- 14,1992,4,4,commander,2000,sts-99,sts-99,sts-99,sts-99,269,1266.35,0,0,0
812,331,211,"weber, mary e.","weber, mary e.",female,1962,u.s.,civilian,1992 nasa group,1992,1,2,msp,1995,sts-70,sts-70,sts-70,sts-70,236,450.5,0,0,0
813,331,211,"weber, mary e.","weber, mary e.",female,1962,u.s.,civilian,1992 nasa group,1992,2,2,msp,2000,sts-101,sts-101,sts-101,sts-101,214,450.5,0,0,0
814,332,83,"gidzenko, yuri",юрий павлович гидзенко,male,1962,u.s.s.r/russia,military,tspk-8,1987,1,3,commander,1995,20,soyuz tm­22,mir,soyuz tm­22,4297,7918.73,1,3.1,3.1
815,332,83,"gidzenko, yuri",юрий павлович гидзенко,male,1962,u.s.s.r/russia,military,tspk-8,1987,2,3,commander,2000,1,soyuz tm­31,iss,sts­102,3383,7918.73,0,0,3.1
816,332,83,"gidzenko, yuri",юрий павлович гидзенко,male,1962,u.s.s.r/russia,military,tspk-8,1987,3,3,commander,2002,soyuz  3,soyuz tm­34,soyuz tm­34,soyuz tm­33,237,7918.73,0,0,3.1
817,333,7,"reiter, thomas","reiter, thomas",male,1958,germany,military,esa-2/eac,1992,1,2,flight engineer,1995,20,soyuz tm-22,mir,soyuz tm-22,4297.6,8405.58,2,8.35,14.25
818,333,7,"reiter, thomas","reiter, thomas",male,1958,germany,military,esa-2/eac,1992,2,2,flight engineer,2006,13,sts-121,iss,sts-116,4108,8405.58,1,5.9,14.25
819,334,212,"gernhardt, michael l.","gernhardt, michael l.",male,1956,u.s.,civilian,nasa astronaut group 14,1992,1,4,msp,1995,sts-69,sts-69,sts-69,sts-69,260.5,1039.05,1,6.76,23.26
